,1009-2016-0-R1VRE,5067-4084-0-GVRE,1810-J012-1-G-TIPmvre,3349-F048-60-R-VRE-TIP,1030-E028-1-O-TIPmvre,1201-6005-0-GVRE,1523-3033-0-GVRE,2427-4042-30-RVRE,3421-E085-30-G-TIPmvre,6773-4106-0-GVRE,6994-4073-120-HVRE,8638-6066-0-GVRE,8805-1121-0-RVRE,5745-3096-0-GVRE,4783-3081-0-RVRE,7763-4119-0-GVRE,6071-3100-0-RVRE,9573-3160-14-RVRE,2565-5010-0-GVRE,1969-E060-1-G-TIPmvre,3238-E079-1-G-TIPmvre,7605-4117-0-HVRE,9378-3164-0-GVRE,3254-F047-14-G-TIPmvre,3982-F070-1-F-TIPmvre,3556-F057-1-G-TIPmvre,3993-E116-14-R-TIPmvre,315-4007-0-GVRE,12-3002-0-RVRE,1157-3026-0-RVRE,358-3009-14-HVRE,5182-3089-0-RVRE,3429-F034-240-G-TIPmvre,3043-J015-1-G-TIPmvre,177-3007-14-RVRE,1784-G009-120-U-VRE-TIP,28-A002-1-G-TIPmvre,1933-L010-1-G-TIPmvre,3302-E081-1-G-TIPmvre,292-F002-1-G-TIPmvre,3485-E103-1-G-TIPmvre,3668-E110-1-G-TIPmvre,2846-4047-0-GVRE,950-3024-0-RVRE,3567-3050-30-R1VRE,6825-3107-0-RVRE,3735-J027-1-R-TIPmvre,3936-E115-1-N-TIPmmrsa,3995-4065-30-GVRE,5087-6042-0-RVRE,3951-2040-0-RVRE,4232-1070-0-R1VRE,3871-E114-1-R-TIPmvre,3444-E095-1-R-TIPmvre,4916-5026-30-GVRE,295-E005-14-R-TIPmvre,2593-3042-14-RVRE,519-1016-0-RVRE,1864-6011-0-RVRE,2849-4048-0-RVRE,4893-2046-0-GVRE,30-1004-14-HVRE,3934-F068-1-R-TIPmvre,1885-F033-1-G-TIPmvre,1798-F029-1-R-TIPmvre,604-4008-14-RVRE,984-F014-1-G-TIPmvre,3640-F062-1-O-TIPmvre,1783-D030-1-R-TIPmvre,2063-K016-1-G-TIPmvre,3252-F045-30-G-TIPmvre,3671-J024-1-R-TIPmvre,3891-A018-1-G-TIPmvre,1565-1035-0-GVRE,501-4010-0-HVRE,9076-6068-0-RVRE,5701-2058-0-GVRE,8517-3146-0-GVRE,1432-E039-1-G-TIPmvre,507-E016-1-F-TIPmvre,508-L001-60-G-TIPmvre,514-E013-14-R-VRE-TIP,681-L003-30-G-TIPmvre,513-E013-14-G-VRE-TIP,682-E013-DC-G-VRE-TIP,3505-F055-14-R-TIPmvre,3901-F066-14-G-TIPmvre,1519-B006-30-G-TIPmvre,3419-D045-14-G-TIPmvre,3471-F053-1-G-TIPmvre,6940-3111-0-RVRE,853-5001-0-RVRE,6842-4101-30-RVRE,3983-J022-240-G-TIPmvre,4477-1075-0-RVRE,1205-6006-0-RVRE,1826-4032-14-R1VRE,187-4002-30-RVRE,1325-4024-0-RVRE,2313-4043-0-RVRE,4785-3083-0-GVRE,1643-4030-14-RVRE,2017-4039-0-R1VRE,2312-4041-14-RVRE,3963-3061-0-GVRE,1739-6010-0-RVRE,7500-6059-14-GVRE,692-2014-0-GVRE,850-2015-0-RVRE,5282-6041-14-GVRE,6241-5036-0-RVRE,2395-5005-30-G2VRE,3687-D049-1-G-TIPmvre,1812-E055-1-R-TIPmvre,3407-E087-14-R-TIPmvre,3470-E088-30-R-TIPmvre,3511-E104-14-G-TIPmvre,1964-B008-1-G-TIPmvre,3828-L019-14-G-TIPmvre,6299-6052-0-GVRE,7209-6060-0-RVRE-EMPTY,8117-4125-0-RVRE,3902-H020-1-G-TIPmvre,1214-J006-60-R-TIPmvre,3220-4053-0-RVRE,1238-K002-240-R-TIPmvre,352-K001-60-G-TIPmvre,3366-F050-14-G-VRE-TIP,3367-F050-14-R-VRE-TIP,3447-F050-30-G-VRE-TIP,4-K003-1-G-TIPmvre,1750-K011-150-G-TIPmvre,19-K005-1-R-TIPmvre,31-K009-1-G-TIPmvre,3954-F065-30-G-TIPmvre,3448-F050-30-R-VRE-TIP,1551-E024-120-R-TIPmvre,579-E017-14-G-TIPmvre,3618-L016-1-R-TIPmvre,1809-F010-300-G-TIPmvre,3338-F021-360-U-TIPmvre,3733-F064-1-R-TIPmvre,3825-C019-1-G-TIPmvre,1957-4037-0-RVRE,3401-5015-0-H1VRE,3339-E083-14-G-VRE-TIP,3535-4051-30-HVRE,3889-4054-60-RVRE,6557-3102-14-GVRE,1726-E049-14-O-TIPmvre,2015-F036-14-G-TIPmvre,2186-5008-0-RVRE,2031-F038-1-G-TIPmvre,3016-E071-14-G-TIPmvre,365-J004-14-G-TIPmvre,289-F001-1-G-TIPmvre,4029-G017-1-G-TIPmvre
9378-3164-0-GVRE,56,57,56,57,59,59,59,60,59,59,59,59,59,57,60,60,59,60,59,60,60,61,92,59,59,59,59,59,59,57,57,57,59,59,58,58,58,59,59,59,59,59,59,59,58,58,58,58,58,58,58,59,58,56,58,58,58,58,59,58,58,59,58,58,58,59,58,58,56,56,56,58,58,56,58,59,58,58,59,59,59,59,59,59,59,59,59,59,59,57,56,58,49,54,54,5,5,5,5,5,5,5,5,5,5,5,5,47,47,5,3,3,45,3,3,3,3,5,5,3,3,3,3,30,32,47,47,47,47,47,47,48,47,48,47,30,16,16,16,16,16,16,16,16,16,16,16,16,16,33,32,32,34,33,34,33,32
3254-F047-14-G-TIPmvre,56,56,60,60,64,64,59,63,63,63,63,63,63,61,63,63,59,59,59,59,59,63,59,67,66,66,66,65,65,62,62,62,64,64,58,58,58,58,58,58,58,58,61,61,58,58,58,62,62,58,58,58,58,56,58,62,62,58,62,61,62,58,58,62,58,62,58,58,56,56,60,58,58,57,58,58,58,58,59,63,59,63,59,63,63,59,59,59,59,59,57,58,48,54,54,5,5,5,5,5,5,5,5,5,5,5,5,47,47,5,3,3,45,3,3,3,3,5,5,3,3,3,3,32,34,50,50,50,50,50,50,50,50,50,50,32,19,19,19,19,19,19,19,19,19,19,19,19,19,33,34,34,33,33,35,35,33
3982-F070-1-F-TIPmvre,56,56,60,60,64,64,59,63,63,63,63,63,63,61,63,63,59,59,59,59,59,63,59,66,71,66,66,65,65,62,62,62,64,64,58,59,58,58,58,58,58,58,61,61,58,58,58,62,62,58,58,58,58,56,58,62,62,58,62,61,62,58,58,62,58,62,58,58,56,56,60,58,58,57,58,58,58,58,59,63,59,63,59,63,63,59,59,59,59,59,57,58,48,54,54,5,5,5,5,5,5,5,5,5,5,5,5,47,47,5,3,3,45,3,3,3,3,5,5,3,3,3,3,32,34,50,50,50,50,50,50,50,50,50,50,32,19,19,19,19,19,19,19,19,19,19,19,19,19,33,34,34,33,33,35,35,33
3556-F057-1-G-TIPmvre,56,56,60,60,64,64,59,63,63,63,63,63,63,61,63,63,59,59,59,59,59,63,59,66,66,71,66,65,65,62,62,62,64,64,58,58,58,58,58,58,58,58,61,61,58,58,58,62,62,58,58,58,58,56,58,62,62,58,62,61,62,58,58,63,58,62,58,58,56,56,60,58,58,57,58,58,58,58,59,63,59,63,59,63,63,59,59,59,59,59,57,58,48,54,54,5,5,5,5,5,5,5,5,5,5,5,5,47,47,5,3,3,45,3,3,3,3,5,5,3,3,3,3,33,35,51,51,51,51,51,51,51,51,51,51,33,19,19,19,19,19,19,19,19,19,19,19,19,19,33,34,34,33,33,35,35,33
3993-E116-14-R-TIPmvre,56,56,60,60,64,64,59,63,63,63,63,63,63,61,63,63,59,59,59,59,59,63,59,66,66,66,72,65,65,62,62,62,64,64,58,58,58,58,58,58,58,58,61,61,58,58,58,62,62,58,58,58,58,56,58,62,62,58,62,61,62,58,58,62,58,62,58,58,56,56,60,58,58,57,58,58,58,58,59,63,59,63,59,63,63,59,59,59,59,59,57,58,48,54,54,5,5,5,5,5,5,5,5,5,5,5,5,47,47,5,3,3,45,3,3,3,3,5,5,3,3,3,3,32,34,50,50,50,50,50,50,50,50,50,50,32,19,19,19,19,19,19,19,19,19,19,19,19,19,33,34,34,33,33,35,35,33
315-4007-0-GVRE,56,56,60,60,64,64,59,63,63,63,63,63,63,61,63,63,59,59,59,59,59,63,59,65,65,65,65,71,65,62,62,62,64,64,58,58,58,58,58,58,58,58,61,61,58,58,58,62,62,58,58,58,58,56,58,62,62,58,62,61,62,58,58,62,58,62,58,58,56,56,60,58,58,57,58,58,58,58,59,63,59,63,59,63,63,59,59,59,59,59,57,58,48,54,54,5,5,5,5,5,5,5,5,5,5,5,5,47,47,5,3,3,45,3,3,3,3,5,5,3,3,3,3,32,34,50,50,50,50,50,50,50,50,50,50,32,19,19,19,19,19,19,19,19,19,19,19,19,19,33,34,34,33,33,35,35,33
12-3002-0-RVRE,56,56,60,62,64,64,59,63,63,63,63,63,63,92,63,63,59,59,59,59,59,63,59,65,65,65,65,65,102,62,62,62,64,64,58,58,58,58,58,58,58,58,61,61,58,58,58,62,62,58,58,58,58,56,58,62,62,58,62,61,62,58,58,62,58,62,58,58,56,56,91,58,58,88,58,58,58,58,59,63,59,63,59,63,63,59,59,59,59,90,88,58,48,54,54,5,5,5,5,5,5,5,5,5,5,5,5,78,78,5,3,3,47,3,3,3,3,5,5,3,3,3,3,60,62,51,51,51,51,51,51,51,51,51,51,60,19,19,19,19,19,19,19,19,19,19,19,19,19,61,62,62,61,61,63,63,61
1157-3026-0-RVRE,56,57,61,61,62,62,57,61,62,61,61,61,61,59,61,61,57,57,57,57,57,61,57,62,62,62,62,62,62,72,72,72,64,62,56,56,56,56,56,56,56,56,59,59,56,56,56,60,60,56,56,56,56,56,56,60,60,56,60,59,60,56,56,60,56,60,56,56,56,57,58,56,56,55,56,56,56,56,57,61,57,61,57,61,61,57,57,57,57,59,55,56,48,52,52,3,3,3,3,3,3,3,3,3,3,3,3,45,45,3,3,3,45,3,3,3,3,3,3,3,3,3,3,32,32,50,50,50,50,50,50,50,50,50,51,32,17,17,17,17,17,17,17,17,17,17,17,17,17,31,32,33,31,31,33,33,31
358-3009-14-HVRE,56,57,61,61,62,62,57,61,62,61,61,61,61,59,61,61,57,57,57,57,57,61,57,62,62,62,62,62,62,72,75,72,64,62,56,56,56,56,56,56,56,56,59,59,56,56,56,60,60,56,56,56,56,56,56,60,60,56,60,59,60,56,56,60,56,60,56,56,56,57,58,56,56,55,56,56,56,59,57,61,57,61,57,61,61,57,57,57,57,59,55,56,51,52,55,3,3,3,3,3,3,3,3,3,3,3,3,45,45,3,3,3,45,3,3,3,3,3,3,3,3,3,3,32,32,50,50,50,50,50,50,50,50,50,51,32,17,17,17,17,17,17,17,17,17,17,17,17,17,31,32,33,31,31,33,33,31
5182-3089-0-RVRE,56,57,61,61,62,62,57,61,62,61,61,61,61,59,61,61,57,57,57,57,57,61,57,62,62,62,62,62,62,72,72,76,64,62,56,56,56,56,56,56,56,56,59,59,56,56,56,60,60,56,56,56,56,56,56,60,60,56,60,59,60,56,56,60,56,60,56,56,56,57,58,56,56,55,56,56,56,56,57,61,57,61,57,61,61,57,57,57,57,59,55,56,48,52,52,3,3,3,3,3,3,3,3,3,3,3,3,45,45,3,3,3,45,3,3,3,3,3,3,3,3,3,3,32,32,50,50,50,50,50,50,50,50,50,51,32,17,17,17,17,17,17,17,17,17,17,17,17,17,31,32,33,31,31,33,33,31
3429-F034-240-G-TIPmvre,56,56,60,60,64,64,59,63,63,63,63,63,63,61,63,63,59,59,59,59,59,63,59,64,64,64,64,64,64,64,64,64,77,64,58,58,58,58,58,58,58,58,61,61,58,58,58,62,62,58,58,58,58,56,58,62,62,58,62,61,62,58,58,62,58,62,58,58,56,56,60,58,58,57,58,58,58,58,59,63,59,63,59,63,63,59,59,59,59,59,57,58,48,54,54,5,5,5,5,5,5,5,5,5,5,5,5,47,47,5,3,3,45,3,3,3,3,5,5,3,3,3,3,32,34,50,50,50,50,50,50,50,50,50,50,32,19,19,19,19,19,19,19,19,19,19,19,19,19,33,34,34,33,33,35,35,33
3043-J015-1-G-TIPmvre,56,56,60,60,64,64,59,63,63,63,63,63,63,61,63,63,59,59,59,59,59,63,59,64,64,64,64,64,64,62,62,62,64,70,58,58,58,58,58,58,58,58,61,61,58,58,58,62,62,58,58,58,58,56,58,62,62,58,62,61,62,58,58,62,58,62,58,58,56,56,60,58,58,57,58,58,58,58,59,63,59,63,59,63,63,59,59,59,59,59,57,58,48,54,54,5,5,5,5,5,5,5,5,5,5,5,5,47,47,5,3,3,45,3,3,3,3,5,5,3,3,3,3,32,34,50,50,50,50,50,50,50,50,50,50,32,19,19,19,19,19,19,19,19,19,19,19,19,19,33,34,34,33,33,35,35,33
177-3007-14-RVRE,57,57,57,57,58,58,58,58,58,58,58,58,58,57,58,58,58,58,58,58,58,61,58,58,58,58,58,58,58,56,56,56,58,58,76,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,57,59,59,59,59,59,59,59,59,59,59,59,59,59,59,57,57,58,59,59,58,59,59,59,60,58,58,58,58,58,58,58,58,58,58,58,55,57,58,48,54,54,5,5,5,5,5,5,5,5,5,5,5,5,48,48,5,3,3,45,3,3,3,3,5,5,3,3,3,3,30,32,47,47,47,47,47,47,47,47,47,47,30,15,15,15,15,15,15,15,15,15,15,15,15,15,31,31,31,31,31,31,31,31
1784-G009-120-U-VRE-TIP,57,57,57,57,58,58,58,58,58,58,58,58,58,56,58,58,58,58,58,58,58,58,58,58,59,58,58,58,58,56,56,56,58,58,59,73,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,57,59,59,59,59,59,59,59,59,59,59,59,59,59,59,57,57,57,59,59,57,59,59,59,59,58,58,58,58,58,58,58,58,58,58,58,54,56,58,48,54,54,5,5,5,5,5,5,5,5,5,5,5,5,47,47,5,3,3,45,3,3,3,3,5,5,3,3,3,3,29,31,47,47,47,47,47,47,47,47,47,47,29,15,15,15,15,15,15,15,15,15,15,15,15,15,31,31,30,31,31,31,31,31
28-A002-1-G-TIPmvre,57,57,57,57,58,58,58,58,58,58,58,58,58,56,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,56,56,56,58,58,59,59,64,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,57,59,59,59,59,59,59,59,59,59,59,59,59,59,59,57,57,57,59,59,57,59,59,59,59,58,58,58,58,58,58,58,58,58,58,58,54,56,58,48,54,54,5,5,5,5,5,5,5,5,5,5,5,5,47,47,5,3,3,45,3,3,3,3,5,5,3,3,3,3,29,31,47,47,47,47,47,47,47,47,47,47,29,15,15,15,15,15,15,15,15,15,15,15,15,15,31,31,30,31,31,31,31,31
1933-L010-1-G-TIPmvre,57,58,57,58,58,58,58,59,58,58,58,58,58,56,59,59,58,59,58,58,58,59,59,58,58,58,58,58,58,56,56,56,58,58,59,59,59,82,81,63,63,63,60,60,59,59,59,59,59,59,59,60,59,57,59,59,59,59,60,59,59,60,59,59,59,60,59,59,57,57,57,59,59,57,59,60,59,59,58,58,58,58,58,58,58,58,58,58,58,55,56,58,48,54,54,5,5,5,5,5,5,5,5,5,5,5,5,47,47,5,3,3,45,3,3,3,3,5,5,3,3,3,3,30,32,47,47,47,47,47,47,48,47,48,47,30,16,16,16,16,16,16,16,16,16,16,16,16,16,32,32,31,32,32,32,32,32
3302-E081-1-G-TIPmvre,57,58,57,58,58,58,58,59,58,58,58,58,58,56,59,59,58,59,58,58,58,59,59,58,58,58,58,58,58,56,56,56,58,58,59,59,59,81,83,63,63,63,60,60,59,59,59,59,59,59,59,60,59,57,59,59,59,59,60,59,59,60,59,59,59,60,59,59,57,57,57,59,59,57,59,60,59,59,58,58,58,58,58,58,58,58,58,58,58,55,56,58,48,54,54,5,5,5,5,5,5,5,5,5,5,5,5,47,47,5,3,3,45,3,3,3,3,5,5,3,3,3,3,30,32,47,47,47,47,47,47,48,47,48,47,30,16,16,16,16,16,16,16,16,16,16,16,16,16,32,32,31,32,32,32,32,32
292-F002-1-G-TIPmvre,57,58,57,58,58,58,58,59,58,58,58,58,58,56,59,59,58,59,58,59,58,59,59,58,58,58,58,58,58,56,56,56,58,58,59,59,59,63,63,78,63,63,60,60,59,59,59,59,59,59,59,60,59,57,59,59,59,59,60,59,59,60,59,59,59,60,59,59,57,57,57,59,59,57,59,60,59,59,58,58,58,58,58,58,58,58,58,58,58,55,56,58,49,54,54,5,5,5,5,5,5,5,5,5,5,5,5,47,47,5,3,3,45,3,3,3,3,6,5,3,3,3,3,30,32,47,47,47,47,47,47,48,47,48,47,30,16,16,16,16,16,16,16,16,16,16,16,16,16,32,32,31,32,32,32,32,32
3485-E103-1-G-TIPmvre,57,58,57,58,58,58,58,59,58,58,58,58,58,56,59,59,58,59,58,58,58,59,59,58,58,58,58,58,58,56,56,56,58,58,59,59,59,63,63,63,66,66,60,60,59,59,59,59,59,59,59,60,59,57,59,59,59,59,60,59,59,60,59,59,59,60,59,59,57,57,57,59,59,57,59,60,59,59,58,58,58,58,58,58,58,58,58,58,58,55,56,58,48,54,54,5,5,5,5,5,5,5,5,5,5,5,5,47,47,5,3,3,45,3,3,3,3,5,5,3,3,3,3,30,32,47,47,47,47,47,47,48,47,48,47,30,16,16,16,16,16,16,16,16,16,16,16,16,16,32,32,31,32,32,32,32,32
3668-E110-1-G-TIPmvre,57,58,57,58,58,58,58,59,58,58,58,58,58,56,59,59,58,59,58,58,58,59,59,58,58,58,58,58,58,56,56,56,58,58,59,59,59,63,63,63,66,69,60,60,59,59,59,59,59,59,59,60,59,57,59,59,59,59,60,59,59,60,59,59,59,60,59,59,57,57,57,59,59,57,59,60,59,59,58,58,58,58,58,58,58,58,58,58,58,55,56,58,48,54,54,5,5,5,5,5,5,5,5,5,5,5,5,47,47,5,3,3,45,3,3,3,3,5,5,3,3,3,3,30,32,47,47,47,47,47,47,48,47,48,47,30,16,16,16,16,16,16,16,16,16,16,16,16,16,32,32,31,32,32,32,32,32
2846-4047-0-GVRE,57,58,60,61,61,61,58,62,61,61,61,61,61,59,62,62,58,59,58,58,58,62,59,61,61,61,61,61,61,59,59,59,61,61,59,59,59,60,60,60,60,60,95,91,69,69,64,67,67,64,64,65,68,62,60,63,63,60,64,62,63,61,60,63,60,64,60,60,58,58,61,63,60,59,61,61,60,60,58,61,58,61,58,61,61,58,58,58,58,58,56,58,48,55,55,5,5,5,5,5,5,5,5,5,5,5,5,47,47,5,3,3,45,3,3,3,3,5,5,3,3,3,3,32,34,49,49,49,49,49,49,50,49,50,49,32,19,19,19,19,19,19,19,19,19,19,19,19,19,34,35,35,34,34,36,36,34
950-3024-0-RVRE,57,58,60,61,61,61,58,62,61,61,61,61,61,59,62,62,58,59,58,58,58,62,59,61,61,61,61,61,61,59,59,59,61,61,59,59,59,60,60,60,60,60,91,91,69,69,64,67,67,64,64,65,68,62,60,63,63,60,64,62,63,61,60,63,60,64,60,60,58,58,61,63,60,59,61,61,60,60,58,61,58,61,58,61,61,58,58,58,58,58,56,58,48,55,55,5,5,5,5,5,5,5,5,5,5,5,5,47,47,5,3,3,45,3,3,3,3,5,5,3,3,3,3,32,34,49,49,49,49,49,49,50,49,50,49,32,19,19,19,19,19,19,19,19,19,19,19,19,19,33,34,34,33,33,35,35,33
3567-3050-30-R1VRE,57,57,57,57,58,58,58,58,58,58,58,58,58,56,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,56,56,56,58,58,59,59,59,59,59,59,59,59,69,69,76,74,65,65,65,65,65,64,69,63,60,60,60,60,60,59,60,60,60,60,60,60,60,60,58,58,58,63,60,58,60,60,60,60,58,58,58,58,58,58,58,58,58,58,58,54,56,58,48,54,54,5,5,5,5,5,5,5,5,5,5,5,5,47,47,5,3,3,45,3,3,3,3,5,5,3,3,3,3,29,31,47,47,47,47,47,47,47,47,47,47,29,15,15,15,15,15,15,15,15,15,15,15,15,15,31,31,30,31,31,31,31,31
6825-3107-0-RVRE,57,57,57,57,58,58,58,58,58,58,58,58,58,56,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,56,56,56,58,58,59,59,59,59,59,59,59,59,69,69,74,76,65,65,65,65,65,64,69,63,60,60,60,60,60,59,60,60,60,60,60,60,60,60,58,58,58,63,60,58,60,60,60,60,58,58,58,58,58,58,58,58,58,58,58,54,56,58,48,54,54,5,5,5,5,5,5,5,5,5,5,5,5,47,47,5,3,3,45,3,3,3,3,5,5,3,3,3,3,29,31,47,47,47,47,47,47,47,47,47,47,29,15,15,15,15,15,15,15,15,15,15,15,15,15,31,31,30,31,31,31,31,31
3735-J027-1-R-TIPmvre,57,57,57,57,58,58,58,58,58,58,58,58,58,56,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,56,56,56,58,58,59,59,59,59,59,59,59,59,64,64,65,65,75,67,67,67,67,64,65,63,60,60,60,60,60,59,60,60,60,60,60,60,60,60,58,58,58,60,60,58,60,60,60,60,58,58,58,58,58,58,58,58,58,58,58,54,56,58,48,54,54,5,5,5,5,5,5,5,5,5,5,5,5,47,47,5,3,3,45,3,3,3,3,5,5,3,3,3,3,29,31,47,47,47,47,47,47,47,47,47,47,29,15,15,15,15,15,15,15,15,15,15,15,15,15,31,31,30,31,31,31,31,31
3936-E115-1-N-TIPmmrsa,57,57,61,61,62,62,58,62,62,62,62,62,62,60,62,62,58,58,58,58,58,62,58,62,62,62,62,62,62,60,60,60,62,62,59,59,59,59,59,59,59,59,67,67,65,65,67,76,76,68,67,64,65,63,60,64,64,60,64,62,64,60,60,64,60,64,60,60,58,58,62,60,60,59,60,60,60,60,58,62,58,62,58,62,62,58,58,58,58,58,57,58,48,54,54,5,5,5,5,5,5,5,5,5,5,5,5,47,47,5,3,3,45,3,3,3,3,5,5,3,3,3,3,32,34,50,50,50,50,50,50,50,50,50,50,32,19,19,19,19,19,19,19,19,19,19,19,19,19,33,34,34,33,33,35,35,33
3995-4065-30-GVRE,57,57,61,61,62,62,58,62,62,62,62,62,62,60,62,62,58,58,58,58,58,62,58,62,62,62,62,62,62,60,60,60,62,62,59,59,59,59,59,59,59,59,67,67,65,65,67,76,76,68,67,64,65,63,60,64,64,60,64,62,64,60,60,64,60,64,60,60,58,58,62,60,60,59,60,60,60,60,58,62,58,62,58,62,62,58,58,58,58,58,57,58,48,54,54,5,5,5,5,5,5,5,5,5,5,5,5,47,47,5,3,3,45,3,3,3,3,5,5,3,3,3,3,32,34,50,50,50,50,50,50,50,50,50,50,32,19,19,19,19,19,19,19,19,19,19,19,19,19,33,34,34,33,33,35,35,33
5087-6042-0-RVRE,57,57,57,57,58,58,58,58,58,58,58,58,58,56,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,56,56,56,58,58,59,59,59,59,59,59,59,59,64,64,65,65,67,68,68,71,67,64,65,63,60,60,60,60,60,59,60,60,60,60,60,60,60,60,58,58,58,60,60,58,60,60,60,60,58,58,58,58,58,58,58,58,58,58,58,54,56,58,48,54,54,5,5,5,5,5,5,5,5,5,5,5,5,47,47,5,3,3,45,3,3,3,3,5,5,3,3,3,3,29,31,47,47,47,47,47,47,47,47,47,47,29,15,15,15,15,15,15,15,15,15,15,15,15,15,31,31,30,31,31,31,31,31
3951-2040-0-RVRE,57,57,57,57,58,58,58,58,58,58,58,58,58,56,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,56,56,56,58,58,59,59,59,59,59,59,59,59,64,64,65,65,67,67,67,67,68,64,65,63,60,60,60,60,60,59,60,60,60,60,60,60,60,60,58,58,58,60,60,58,60,60,60,60,58,58,58,58,58,58,58,58,58,58,58,54,56,58,48,54,54,5,5,5,5,5,5,5,5,5,5,5,5,47,47,5,3,3,45,3,3,3,3,5,5,3,3,3,3,29,31,47,47,47,47,47,47,47,47,47,47,29,15,15,15,15,15,15,15,15,15,15,15,15,15,31,31,30,31,31,31,31,31
4232-1070-0-R1VRE,57,58,57,58,58,58,58,59,58,58,58,58,58,56,59,59,58,59,58,58,58,59,59,58,58,58,58,58,58,56,56,56,58,58,59,59,59,60,60,60,60,60,65,65,64,64,64,64,64,64,64,73,64,62,60,60,60,60,61,59,60,61,60,60,60,61,60,60,58,58,58,60,60,58,60,61,60,60,58,58,58,58,58,58,58,58,58,58,58,55,56,58,48,54,54,5,5,5,5,5,5,5,5,5,5,5,5,47,47,5,3,3,45,3,3,3,3,5,5,3,3,3,3,30,32,47,47,47,47,47,47,48,47,48,47,30,16,16,16,16,16,16,16,16,16,16,16,16,16,32,32,31,32,32,32,32,32
3871-E114-1-R-TIPmvre,57,57,57,57,58,58,58,58,58,58,58,58,58,56,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,56,56,56,58,58,59,59,59,59,59,59,59,59,68,68,69,69,65,65,65,65,65,64,73,63,60,60,60,60,60,59,60,60,60,60,60,60,60,60,58,58,58,63,60,58,60,60,60,60,58,58,58,58,58,58,58,58,58,58,58,54,56,58,48,54,54,5,5,5,5,5,5,5,5,5,5,5,5,47,47,5,3,3,45,3,3,3,3,5,5,3,3,3,3,29,31,47,47,47,47,47,47,47,47,47,47,29,15,15,15,15,15,15,15,15,15,15,15,15,15,31,31,30,31,31,31,31,31
3444-E095-1-R-TIPmvre,57,57,57,57,56,56,56,56,56,56,56,56,56,54,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,57,57,57,57,57,57,57,57,62,62,63,63,63,63,63,63,63,62,63,68,58,58,58,58,58,57,58,58,58,58,58,58,58,58,58,58,56,58,58,56,58,58,58,58,56,56,56,56,56,56,56,56,56,56,56,54,54,56,48,52,52,3,3,3,3,3,3,3,3,3,3,3,3,45,45,3,3,3,45,3,3,3,3,3,3,3,3,3,3,29,29,47,47,47,47,47,47,47,47,47,47,29,13,13,13,13,13,13,13,13,13,13,13,13,13,29,29,28,29,29,29,29,29
4916-5026-30-GVRE,57,57,57,57,58,58,59,58,58,58,58,58,58,57,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,56,56,56,58,58,59,59,59,59,59,59,59,59,60,60,60,60,60,60,60,60,60,60,60,58,70,60,60,60,60,59,60,60,60,60,60,60,60,60,58,58,59,60,60,59,60,60,60,60,58,58,58,58,58,58,59,58,58,58,59,55,57,58,48,54,54,5,5,5,5,5,5,5,5,5,5,5,5,48,48,5,3,3,45,3,3,4,3,5,6,3,3,3,3,30,32,48,48,48,48,48,48,48,48,48,48,30,17,17,16,16,16,16,16,16,16,16,16,16,16,32,32,31,32,32,32,32,32
295-E005-14-R-TIPmvre,57,57,61,61,62,62,58,62,62,62,62,62,62,60,62,62,58,58,58,58,58,62,58,62,62,62,62,62,62,60,60,60,62,62,59,59,59,59,59,59,59,59,63,63,60,60,60,64,64,60,60,60,60,58,60,64,64,60,64,62,64,60,60,64,60,64,60,60,58,58,62,60,60,59,60,60,60,60,58,62,58,62,58,62,62,58,58,58,58,58,57,58,48,54,54,5,5,5,5,5,5,5,5,5,5,5,5,47,47,5,3,3,45,3,3,3,3,5,5,3,3,3,3,32,34,50,50,50,50,50,50,50,50,50,50,32,19,19,19,19,19,19,19,19,19,19,19,19,19,33,34,34,33,33,35,35,33
2593-3042-14-RVRE,57,57,61,61,62,62,58,62,62,62,62,62,62,60,62,62,58,58,58,58,58,62,58,62,62,62,62,62,62,60,60,60,62,62,59,59,59,59,59,59,59,59,63,63,60,60,60,64,64,60,60,60,60,58,60,64,69,60,64,62,65,60,60,65,60,64,60,60,58,58,62,60,60,59,60,60,60,60,58,62,58,62,58,62,62,58,58,58,58,58,57,58,48,54,54,5,5,5,5,5,5,5,5,5,5,5,5,47,47,5,3,3,45,3,3,3,3,5,5,3,3,3,3,32,34,50,50,50,50,50,50,50,50,50,50,32,19,19,19,19,19,19,19,19,19,19,19,19,19,33,34,34,33,33,35,35,33
